2.876548994336217291e+01,3.379349982487826054e+01,1.131713834794570613e-02
2.874144279895793730e+01,3.884460236115260301e+01,5.281212139881686501e-02
2.853862051014667145e+01,6.299585618907958207e+01,3.899723270979669337e-02
2.856560533633737364e+01,4.060076083454869433e+01,2.471531178200664369e-02
2.873296103244258859e+01,6.455436053055051104e+01,5.241241693214100661e-02
2.888259037696314380e+01,7.263765567271066459e+01,3.892806279398470376e-02
2.846196396787957994e+01,6.210778459034090559e+01,2.298241724778910672e-02
2.857671720937019799e+01,4.271117595339553219e+01,5.011106655903876245e-02
2.845116355823445176e+01,7.313544981981172555e+01,4.031586414082862641e-02
2.860899483001523436e+01,3.913963728533969544e+01,5.717220023499747228e-02
